crn,sunday,monday,tuesday,wednesday,thursday,friday,saturdaym,start_time,end_time,start_date,end_date,location,meeting_type
54847,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
10010,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 102,Lecture,
10010,null,null,T,null,null,null,null,07:15 PM,09:00 PM,02/11/2025,02/11/2025,null,Examination,
10010,null,null,T,null,null,null,null,07:15 PM,09:00 PM,03/04/2025,03/04/2025,null,Examination,
10010,null,null,T,null,null,null,null,07:15 PM,09:00 PM,04/08/2025,04/08/2025,null,Examination,
10012,null,M,null,W,null,null,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,WCBA 113,Lecture,
10012,null,null,T,null,null,null,null,07:15 PM,09:00 PM,02/11/2025,02/11/2025,null,Examination,
10012,null,null,T,null,null,null,null,07:15 PM,09:00 PM,03/04/2025,03/04/2025,null,Examination,
10012,null,null,T,null,null,null,null,07:15 PM,09:00 PM,04/08/2025,04/08/2025,null,Examination,
10013,null,M,null,W,null,null,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,WCBA 113,Lecture,
10013,null,null,T,null,null,null,null,07:15 PM,09:00 PM,02/11/2025,02/11/2025,null,Examination,
10013,null,null,T,null,null,null,null,07:15 PM,09:00 PM,03/04/2025,03/04/2025,null,Examination,
10013,null,null,T,null,null,null,null,07:15 PM,09:00 PM,04/08/2025,04/08/2025,null,Examination,
10016,null,null,null,W,null,null,null,08:00 AM,05:00 PM,01/08/2025,01/08/2025,null,Lecture,
10016,null,null,T,null,R,null,null,05:30 PM,06:45 PM,01/08/2025,05/06/2025,WCBA 113,Lecture,
10016,null,null,null,null,R,null,null,08:00 AM,05:00 PM,01/09/2025,01/09/2025,null,Lecture,
10016,null,null,null,null,null,F,null,08:00 AM,05:00 PM,01/10/2025,01/10/2025,null,Lecture,
21666,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
34568,null,M,null,W,null,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WRB 307,Lecture,
34568,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
34568,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
34568,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
16673,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WRB 307,Lecture,
16673,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
16673,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
16673,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
16674,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WRB 307,Lecture,
16674,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
16674,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
16674,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
10017,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 111,Lecture,
10017,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
10017,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
10017,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
10018,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 111,Lecture,
10018,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
10018,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
10018,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
23830,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 111,Lecture,
23830,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
23830,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
23830,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
23831,null,M,null,W,null,F,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,WCBA 156,Lecture,
23831,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
23831,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
23831,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
32793,null,M,null,W,null,F,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,WCBA 156,Lecture,
32793,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
32793,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
32793,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
35599,null,M,null,W,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,WCBA 156,Lecture,
35599,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
35599,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
35599,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
42711,null,M,null,W,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,WCBA 156,Lecture,
42711,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
42711,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
42711,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
47391,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 110,Lecture,
47391,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
47391,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
47391,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
54439,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 110,Lecture,
54439,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
54439,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
54439,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
54440,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 110,Lecture,
54440,null,M,null,null,null,null,null,07:15 PM,09:15 PM,02/10/2025,02/10/2025,null,Examination,
54440,null,M,null,null,null,null,null,07:15 PM,09:15 PM,03/24/2025,03/24/2025,null,Examination,
54440,null,null,null,null,R,null,null,07:15 PM,09:15 PM,04/24/2025,04/24/2025,null,Examination,
10019,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 104,Lecture,
10020,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 104,Lecture,
47366,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 104,Lecture,
26523,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 104,Lecture,
26524,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 104,Lecture,
26525,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 104,Lecture,
38571,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 155,Lecture,
38572,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 155,Lecture,
47367,null,M,null,W,null,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 104,Lecture,
47368,null,M,null,W,null,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 104,Lecture,
15758,null,null,null,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 114,Lecture,
15758,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
10021,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 105,Lecture,
10022,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 105,Lecture,
25065,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 105,Lecture,
25065,null,null,T,null,null,null,null,07:00 PM,09:00 PM,02/18/2025,02/18/2025,null,Examination,
10024,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WRB 307,Lecture,
10024,null,null,T,null,null,null,null,07:00 PM,09:00 PM,02/18/2025,02/18/2025,null,Examination,
10025,null,M,null,W,null,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WRB 307,Lecture,
10025,null,null,T,null,null,null,null,07:00 PM,09:00 PM,02/18/2025,02/18/2025,null,Examination,
42214,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 155,Lecture,
42214,null,null,T,null,null,null,null,07:00 PM,09:00 PM,02/18/2025,02/18/2025,null,Examination,
12542,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WRB 307,Lecture,
12543,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WRB 307,Lecture,
42901,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 105,Lecture,
10028,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/13/2025,03/21/2025,WCBA 462,Lecture,
10028,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,03/21/2025,WCBA 462,Lecture,
10029,null,null,null,null,null,F,null,08:00 AM,10:00 AM,01/13/2025,05/06/2025,WCBA 442,Lecture,
10030,null,null,null,null,null,F,null,10:30 AM,12:30 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
10031,null,null,null,null,null,F,null,01:30 PM,03:30 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
23832,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
21516,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
42712,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
47664,null,null,null,null,null,null,null,null,null,12/16/2024,01/06/2025,null,Lecture,
10037,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/02/2025,WCBA 113,Lecture,
10037,null,M,null,W,null,null,null,02:20 PM,03:35 PM,03/24/2025,05/02/2025,WCBA 111,Lecture,
27390,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/02/2025,WCBA 111,Lecture,
27390,null,M,null,W,null,null,null,12:45 PM,02:00 PM,03/24/2025,05/02/2025,WCBA 111,Lecture,
54846,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/06/2025,WCBA 113,Lecture,
54846,null,M,null,W,null,null,null,03:55 PM,05:10 PM,03/24/2025,05/06/2025,WCBA 114,Lecture,
57241,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
53807,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 155,Lecture,
53826,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 155,Lecture,
53836,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 155,Lecture,
51275,null,null,null,null,null,null,null,null,null,02/23/2025,04/27/2025,null,Lecture,
51276,null,null,null,null,null,null,null,null,null,01/05/2025,03/02/2025,ONLINE,Lecture,
50395,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WRB 307,Seminar,
47940,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 105,Lecture,
43945,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
43945,null,null,T,null,null,null,null,08:00 PM,10:00 PM,02/18/2025,02/18/2025,null,Examination,
43945,null,null,T,null,null,null,null,08:00 PM,10:00 PM,03/25/2025,03/25/2025,null,Examination,
43945,null,null,T,null,null,null,null,08:00 PM,10:00 PM,04/29/2025,04/29/2025,null,Examination,
32038,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
32038,null,null,T,null,null,null,null,08:00 PM,10:00 PM,02/18/2025,02/18/2025,null,Examination,
32038,null,null,T,null,null,null,null,08:00 PM,10:00 PM,03/25/2025,03/25/2025,null,Examination,
32038,null,null,T,null,null,null,null,08:00 PM,10:00 PM,04/29/2025,04/29/2025,null,Examination,
34571,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
34571,null,null,T,null,null,null,null,08:00 PM,10:00 PM,02/18/2025,02/18/2025,null,Examination,
34571,null,null,T,null,null,null,null,08:00 PM,10:00 PM,03/25/2025,03/25/2025,null,Examination,
34571,null,null,T,null,null,null,null,08:00 PM,10:00 PM,04/29/2025,04/29/2025,null,Examination,
10042,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 442,Lecture,
10042,null,null,null,null,null,F,null,10:20 AM,01:20 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10043,null,null,null,null,null,F,null,10:20 AM,01:20 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10043,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
47547,null,null,null,null,null,null,null,null,null,12/16/2024,01/06/2025,ONLINE,Lecture,
34569,null,M,null,W,null,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 109,Lecture,
10045,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
10046,null,M,null,W,null,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
34570,null,M,null,W,null,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,WCBA 442,Lecture,
56849,null,null,null,null,null,null,null,null,null,01/05/2025,03/02/2025,null,Lecture,
10047,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/02/2025,WCBA 113,Lecture,
10047,null,M,null,W,null,null,null,02:20 PM,03:35 PM,03/24/2025,05/02/2025,WCBA 111,Lecture,
27858,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/02/2025,WCBA 111,Lecture,
27858,null,M,null,W,null,null,null,12:45 PM,02:00 PM,03/24/2025,05/02/2025,WCBA 111,Lecture,
54845,null,null,T,null,R,null,null,08:00 AM,10:00 AM,03/24/2025,05/06/2025,WCBA 113,Lecture,
54845,null,M,null,W,null,null,null,03:55 PM,05:10 PM,03/24/2025,05/06/2025,WCBA 114,Lecture,
54838,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/02/2025,02/07/2025,WCBA 184,Lecture,
54839,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/02/2025,02/07/2025,WCBA 184,Lecture,
54840,null,M,null,W,null,null,null,12:45 PM,02:00 PM,03/24/2025,05/06/2025,WCBA 184,Lecture,
54841,null,M,null,W,null,null,null,08:00 AM,09:15 AM,03/24/2025,05/06/2025,WCBA 442,Lecture,
54842,null,M,null,W,null,null,null,09:35 AM,10:50 AM,03/24/2025,05/06/2025,WCBA 442,Lecture,
54843,null,M,null,W,null,null,null,11:10 AM,12:25 PM,03/24/2025,05/06/2025,WCBA 442,Lecture,
56850,null,null,null,null,null,null,null,null,null,02/23/2025,04/20/2025,null,Lecture,
10048,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
54844,null,null,null,null,null,F,null,09:00 AM,12:00 PM,03/24/2025,05/06/2025,WCBA 102,Lecture,
54844,null,null,T,null,null,null,null,04:00 PM,07:00 PM,03/24/2025,05/06/2025,WCBA 102,Lecture,
23833,null,M,null,W,null,null,null,08:00 AM,09:15 AM,01/02/2025,02/07/2025,WCBA 155,Lecture,
23833,null,null,T,null,null,null,null,12:45 PM,02:00 PM,01/02/2025,02/07/2025,WCBA 114,Lecture,
23833,null,null,null,null,R,null,null,12:45 PM,02:00 PM,01/02/2025,02/07/2025,null,Lecture,
23834,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/02/2025,02/07/2025,WCBA 155,Lecture,
23834,null,null,T,null,null,null,null,12:45 PM,02:00 PM,01/02/2025,02/07/2025,WCBA 114,Lecture,
23834,null,null,null,null,R,null,null,12:45 PM,02:00 PM,01/02/2025,02/07/2025,null,Lecture,
13513,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
13514,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
16400,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
25765,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Seminar,
48113,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Seminar,
13809,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
31069,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Clinic,
31992,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Lecture,
49270,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Clinic,
31070,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Seminar,
31071,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Seminar,
47393,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Clinic,
55056,null,null,null,null,null,null,null,null,null,01/06/2025,05/16/2025,null,Laboratory,
21046,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,HRBB 131,Lecture,
21046,null,null,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,HRBB 131,Laboratory,
21047,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,HRBB 131,Lecture,
21047,null,null,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,HRBB 131,Laboratory,
47465,null,null,T,null,null,null,null,03:55 PM,04:45 PM,01/13/2025,05/06/2025,ZACH 260,Recitation,
47465,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,ZACH 260,Lecture,
38651,null,null,T,null,null,null,null,03:55 PM,04:45 PM,01/13/2025,05/06/2025,ZACH 260,Recitation,
38651,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,ZACH 260,Lecture,
37973,null,M,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,CHEN 102,Lecture,
37973,null,null,T,null,null,null,null,05:30 PM,06:20 PM,01/13/2025,05/06/2025,CHEN 102,Laboratory,
