course_ccode,course_cnumber,prereq_ccode,prereq_cnumber,equi_id
ANSC,420,ANSC,307,2,
ANSC,420,ANSC,318,3,
ANSC,420,ANSC,333,4,
ANSC,434,ANSC,305,1,
ANSC,434,ANSC,307,2,
ANSC,434,ANSC,318,3,
ANSC,434,ANSC,333,4,
ANSC,434,ANSC,433,4,
ANSC,467,ANSC,307,1,
ANSC,467,NFSC,307,1,
ANSC,487,CHEM,222,1,
ANSC,487,CHEM,228,1,
ANSC,498,ANSC,303,1,
ANSC,498,ANSC,307,2,
ANSC,498,ANSC,333,3,
ANSC,498,ANSC,334,4,
ANTH,410,ANTH,210,1,
ANTH,410,ANTH,205,1,
ANTH,421,MUST,221,1,
ANTH,421,ARCH,221,1,
ANTH,421,MAST,220,1,
ANTH,425,ANTH,225,1,
ANTH,425,ANTH,226,2,
ANTH,425,VIBS,305,2,
ANTH,447,ANTH,202,1,
ANTH,448,STAT,302,1,
ANTH,448,STAT,303,1,
ARAB,201,ARAB,102,1,
ARAB,201,ARAB,104,1,
ARAB,202,ARAB,201,1,
ARAB,323,ARAB,202,1,
ARAB,323,ARAB,204,1,
ARCH,105,ARCH,115,1,
ARCH,105,ENDS,115,1,
ARCH,108,ARCH,105,1,
ARCH,108,ENDS,105,1,
ARCH,108,ARCH,115,2,
ARCH,108,ENDS,115,2,
ARCH,115,ARCH,105,1,
ARCH,115,ENDS,105,1,
ARCH,206,ARCH,205,1,
ARCH,206,ENDS,105,2,
ARCH,206,ARCH,105,2,
ARCH,206,ENDS,108,2,
ARCH,206,ARCH,108,2,
ARCH,206,ENDS,115,2,
ARCH,206,ARCH,115,2,
ARCH,305,ARCH,249,1,
ARCH,305,ARCH,250,2,
ARCH,317,ARCH,216,1,
ARCH,331,MATH,142,1,
ARCH,331,PHYS,201,2,
ARCH,335,PHYS,201,1,
ARCH,406,ARCH,305,1,
ARCH,406,ARCH,331,2,
ARCH,406,ARCH,335,3,
ARCH,406,ARCH,405,4,
ARCH,406,CARC,301,5,
ARCH,406,ARCH,494,5,
AREN,300,AREN,200,1,
AREN,330,MEEN,315,1,
AREN,401,AREN,300,1,
AREN,401,AREN,330,2,
AREN,401,CVEN,345,3,
AREN,402,AREN,401,1,
AREN,440,AREN,300,1,
AREN,440,AREN,330,2,
ARTS,212,ARTS,111,1,
ARTS,212,ARTS,115,1,
ARTS,303,ARTS,104,1,
ARTS,303,VIST,105,1,
ARTS,304,ARTS,303,1,
